id,country,time,confirmed,deaths,recovered,netinfected,lat,lon,countrycode,first_confirmed,datelarger100,days_outbreak,days_larger_100,SP500,DAX30,NFLX,LHA.DE,GILD,MRNA,NCLH,searchindex,health_index,population,sars_time,sars_confirmed,sars_deaths,sars_recovered,sars_netinfected,confirmed_capita,deaths_capita,recovered_capita,netinfected_capita,sars_confirmed_capita,sars_deaths_capita,sars_recovered_capita,sars_netinfected_capita,lag_confirmed
1,Afghanistan,2020-01-22,0,0,0,0,33,65,AFG,2020-02-24,NA,0,NA,3321.75,13515.75,326,14.47,62.815033,21.969999,57.630001,6,32.3,34656032,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
2,Afghanistan,2020-01-23,0,0,0,0,33,65,AFG,2020-02-24,NA,0,NA,3325.540039,13388.419922,349.600006,14.405,63.350048,21.469999,58.220001,8,32.3,34656032,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
3,Afghanistan,2020-01-24,0,0,0,0,33,65,AFG,2020-02-24,NA,0,NA,3295.469971,13576.679688,353.160004,14.425,62.567341,21.120001,55.84,13,32.3,34656032,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
4,Afghanistan,2020-01-25,0,0,0,0,33,65,AFG,2020-02-24,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,16,32.3,34656032,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
5,Afghanistan,2020-01-26,0,0,0,0,33,65,AFG,2020-02-24,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,17,32.3,34656032,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
6,Afghanistan,2020-01-27,0,0,0,0,33,65,AFG,2020-02-24,NA,0,NA,3243.629883,13204.769531,342.880005,13.8,63.241065999999996,22.74,54.16,18,32.3,34656032,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
7,Afghanistan,2020-01-28,0,0,0,0,33,65,AFG,2020-02-24,NA,0,NA,3276.23999,13323.69043,348.519989,14,63.766174,22.360001,55,23,32.3,34656032,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
8,Afghanistan,2020-01-29,0,0,0,0,33,65,AFG,2020-02-24,NA,0,NA,3273.399902,13345,343.160004,14.17,63.70673,20.549999,56.02,22,32.3,34656032,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
9,Afghanistan,2020-01-30,0,0,0,0,33,65,AFG,2020-02-24,NA,0,NA,3283.659912,13157.120117,347.73999,14.03,63.439217,20.99,54.799999,25,32.3,34656032,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
10,Afghanistan,2020-01-31,0,0,0,0,33,65,AFG,2020-02-24,NA,0,NA,3225.52002,12981.969727,345.089996,13.83,62.616879,20.51,53.849998,26,32.3,34656032,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
11,Afghanistan,2020-02-01,0,0,0,0,33,65,AFG,2020-02-24,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,19,32.3,34656032,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
12,Afghanistan,2020-02-02,0,0,0,0,33,65,AFG,2020-02-24,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,16,32.3,34656032,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
13,Afghanistan,2020-02-03,0,0,0,0,33,65,AFG,2020-02-24,NA,0,NA,3248.919922,13045.19043,358,14.06,65.747719,20.379999,54.189999,13,32.3,34656032,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
14,Afghanistan,2020-02-04,0,0,0,0,33,65,AFG,2020-02-24,NA,0,NA,3297.590088,13281.740234,369.01001,14.52,66.77813,20.870001,54.75,12,32.3,34656032,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
15,Afghanistan,2020-02-05,0,0,0,0,33,65,AFG,2020-02-24,NA,0,NA,3334.689941,13478.330078,369.670013,15.035,65.262245,20.049999,55.110001,11,32.3,34656032,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Afghanistan,2020-02-06,0,0,0,0,33,65,AFG,2020-02-24,NA,0,NA,3345.780029,13574.820313,366.950012,15,67.58065,19.879999,55.099998,12,32.3,34656032,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
