symbol,date,open,high,low,close,volume,adjusted
^GSPC,2020-01-02,3244.669922,3258.139893,3235.530029,3257.850098,3458250000,3257.850098
^GSPC,2020-01-03,3226.360107,3246.149902,3222.340088,3234.850098,3461290000,3234.850098
^GSPC,2020-01-06,3217.550049,3246.840088,3214.639893,3246.280029,3674070000,3246.280029
^GSPC,2020-01-07,3241.860107,3244.909912,3232.429932,3237.179932,3420380000,3237.179932
^GSPC,2020-01-08,3238.590088,3267.070068,3236.669922,3253.050049,3720890000,3253.050049
^GSPC,2020-01-09,3266.030029,3275.580078,3263.669922,3274.699951,3638390000,3274.699951
^GSPC,2020-01-10,3281.810059,3282.98999,3260.860107,3265.350098,3212970000,3265.350098
^GSPC,2020-01-13,3271.129883,3288.129883,3268.429932,3288.129883,3456380000,3288.129883
^GSPC,2020-01-14,3285.350098,3294.25,3277.189941,3283.149902,3665130000,3283.149902
^GSPC,2020-01-15,3282.27002,3298.659912,3280.689941,3289.290039,3716840000,3289.290039
^GSPC,2020-01-16,3302.969971,3317.110107,3302.820068,3316.810059,3535080000,3316.810059
^GSPC,2020-01-17,3323.659912,3329.879883,3318.860107,3329.620117,3698170000,3329.620117
^GSPC,2020-01-21,3321.030029,3329.790039,3316.610107,3320.790039,4105340000,3320.790039
^GSPC,2020-01-22,3330.02002,3337.77002,3320.040039,3321.75,3619850000,3321.75
^GSPC,2020-01-23,3315.77002,3326.879883,3301.870117,3325.540039,3764860000,3325.540039
^GSPC,2020-01-24,3333.100098,3333.179932,3281.530029,3295.469971,3707130000,3295.469971
^GSPC,2020-01-27,3247.159912,3258.850098,3234.5,3243.629883,3823100000,3243.629883
^GSPC,2020-01-28,3255.350098,3285.780029,3253.219971,3276.23999,3526720000,3276.23999
^GSPC,2020-01-29,3289.459961,3293.469971,3271.889893,3273.399902,3584500000,3273.399902
^GSPC,2020-01-30,3256.449951,3285.909912,3242.800049,3283.659912,3787250000,3283.659912
^GSPC,2020-01-31,3282.330078,3282.330078,3214.679932,3225.52002,4527830000,3225.52002
^GSPC,2020-02-03,3235.659912,3268.439941,3235.659912,3248.919922,3757910000,3248.919922
^GSPC,2020-02-04,3280.610107,3306.919922,3280.610107,3297.590088,3995320000,3297.590088
^GSPC,2020-02-05,3324.909912,3337.580078,3313.75,3334.689941,4117730000,3334.689941
^GSPC,2020-02-06,3344.919922,3347.959961,3334.389893,3345.780029,3868370000,3345.780029
^GSPC,2020-02-07,3335.540039,3341.419922,3322.120117,3327.709961,3730650000,3327.709961
^GSPC,2020-02-10,3318.280029,3352.26001,3317.77002,3352.090088,3450350000,3352.090088
^GSPC,2020-02-11,3365.870117,3375.629883,3352.719971,3357.75,3760550000,3357.75
^GSPC,2020-02-12,3370.5,3381.469971,3369.719971,3379.449951,3926380000,3379.449951
^GSPC,2020-02-13,3365.899902,3385.090088,3360.52002,3373.939941,3498240000,3373.939941
^GSPC,2020-02-14,3378.080078,3380.689941,3366.149902,3380.159912,3398040000,3380.159912
^GSPC,2020-02-18,3369.040039,3375.01001,3355.610107,3370.290039,3746720000,3370.290039
^GSPC,2020-02-19,3380.389893,3393.52002,3378.830078,3386.149902,3600150000,3386.149902
^GSPC,2020-02-20,3380.449951,3389.149902,3341.02002,3373.22998,4007320000,3373.22998
^GSPC,2020-02-21,3360.5,3360.76001,3328.449951,3337.75,3899270000,3337.75
^GSPC,2020-02-24,3257.610107,3259.810059,3214.649902,3225.889893,4842960000,3225.889893
^GSPC,2020-02-25,3238.939941,3246.98999,3118.77002,3128.209961,5591510000,3128.209961
^GSPC,2020-02-26,3139.899902,3182.51001,3108.98999,3116.389893,5478110000,3116.389893
^GSPC,2020-02-27,3062.540039,3097.070068,2977.389893,2978.76001,7058840000,2978.76001
^GSPC,2020-02-28,2916.899902,2959.719971,2855.840088,2954.219971,8563850000,2954.219971
^GSPC,2020-03-02,2974.280029,3090.959961,2945.189941,3090.22998,6376400000,3090.22998
^GSPC,2020-03-03,3096.459961,3136.719971,2976.629883,3003.370117,6355940000,3003.370117
^GSPC,2020-03-04,3045.75,3130.969971,3034.379883,3130.120117,5035480000,3130.120117
^GSPC,2020-03-05,3075.699951,3083.040039,2999.830078,3023.939941,5575550000,3023.939941
^GSPC,2020-03-06,2954.199951,2985.929932,2901.540039,2972.370117,6552140000,2972.370117
^GSPC,2020-03-09,2863.889893,2863.889893,2734.429932,2746.560059,8423050000,2746.560059
^GSPC,2020-03-10,2813.47998,2882.590088,2734,2882.22998,7635960000,2882.22998
^GSPC,2020-03-11,2825.600098,2825.600098,2707.219971,2741.379883,7374110000,2741.379883
^GSPC,2020-03-12,2630.860107,2660.949951,2478.860107,2480.639893,8829380000,2480.639893
^GSPC,2020-03-13,2569.98999,2711.330078,2492.370117,2711.02002,8258670000,2711.02002
^GDAXI,2020-01-02,13233.709961,13425.030273,13225.160156,13385.929688,75341400,13385.929688
^GDAXI,2020-01-03,13266.389648,13282.740234,13120.719727,13219.139648,80793400,13219.139648
^GDAXI,2020-01-06,13085.490234,13143.110352,12948.169922,13126.990234,71778600,13126.990234
^GDAXI,2020-01-07,13199.589844,13283.879883,13166.400391,13226.830078,78282300,13226.830078
^GDAXI,2020-01-08,13140.490234,13334.040039,13106.269531,13320.179688,88178800,13320.179688
^GDAXI,2020-01-09,13474.759766,13523.339844,13456.780273,13495.05957,86965600,13495.05957
^GDAXI,2020-01-10,13533.459961,13548.200195,13483.30957,13483.30957,77941000,13483.30957
^GDAXI,2020-01-13,13521.860352,13529.209961,13404.719727,13451.519531,67208300,13451.519531
^GDAXI,2020-01-14,13439.200195,13487.900391,13362.200195,13456.490234,74555400,13456.490234
^GDAXI,2020-01-15,13444.950195,13458.910156,13388.480469,13432.299805,72046400,13432.299805
^GDAXI,2020-01-16,13463.459961,13492.740234,13382.980469,13429.429688,39611800,13429.429688
^GDAXI,2020-01-17,13513.480469,13557.780273,13497.299805,13526.129883,86342800,13526.129883
^GDAXI,2020-01-20,13503.830078,13550.830078,13487.209961,13548.94043,52882400,13548.94043
^GDAXI,2020-01-21,13456.900391,13560.679688,13443.25,13555.870117,64630900,13555.870117
^GDAXI,2020-01-22,13601.650391,13640.05957,13498.030273,13515.75,73130700,13515.75
^GDAXI,2020-01-23,13455.900391,13486.139648,13382.230469,13388.419922,90749900,13388.419922
^GDAXI,2020-01-24,13512.839844,13604.849609,13510.790039,13576.679688,87986400,13576.679688
^GDAXI,2020-01-27,13374.990234,13399.419922,13195.280273,13204.769531,101409200,13204.769531
^GDAXI,2020-01-28,13274.009766,13327.120117,13163.360352,13323.69043,91825300,13323.69043
^GDAXI,2020-01-29,13316.419922,13371.299805,13296.030273,13345,67876800,13345
^GDAXI,2020-01-30,13186.490234,13262.179688,13118.969727,13157.120117,100706100,13157.120117
^GDAXI,2020-01-31,13196.799805,13208.469727,12973.700195,12981.969727,106903800,12981.969727
^GDAXI,2020-02-03,13033.169922,13077.570313,12987.530273,13045.19043,81389100,13045.19043
^GDAXI,2020-02-04,13135.610352,13282.629883,13131.070313,13281.740234,80887400,13281.740234
^GDAXI,2020-02-05,13224.269531,13488.580078,13223.139648,13478.330078,108453900,13478.330078
^GDAXI,2020-02-06,13570.330078,13606.969727,13533.660156,13574.820313,114567900,13574.820313
^GDAXI,2020-02-07,13530.769531,13551.030273,13463.980469,13513.80957,87036900,13513.80957
^GDAXI,2020-02-10,13476,13501.740234,13445.410156,13494.030273,60456500,13494.030273
^GDAXI,2020-02-11,13604.740234,13668.429688,13557.959961,13627.839844,104753500,13627.839844
^GDAXI,2020-02-12,13671.150391,13758.700195,13658.150391,13749.780273,86733300,13749.780273
